	count
2006-03	26
2006-04	228
2006-05	226
2006-06	170
2006-07	149
2006-08	54
2006-12	1
2007-01	6
2007-02	15
2007-03	89
2007-04	124
2007-05	65
2007-06	96
2007-07	156
2007-08	180
2007-09	195
2007-10	228
2007-11	501
2007-12	278
2008-01	208
2008-02	286
2008-03	378
2008-04	633
2008-05	621
2008-06	571
2008-07	843
2008-08	1034
2008-09	1155
2008-10	1263
2008-11	1139
2008-12	1558
2009-01	2658
2009-02	4068
2009-03	5885
2009-04	7946
2009-05	9215
2009-06	10472
2009-07	11670
2009-08	11295
2009-09	11687
2009-10	13474
2009-11	13229
2009-12	12583
2010-01	14368
2010-02	14950
2010-03	17171
2010-04	17096
2010-05	17155
2010-06	16514
2010-07	16861
2010-08	18253
2010-09	19536
2010-10	22386
2010-11	21608
2010-12	21273
2011-01	25258
2011-02	27688
2011-03	34603
2011-04	33239
2011-05	33563
2011-06	34815
2011-07	35774
2011-08	40121
2011-09	42841
2011-10	45218
2011-11	46709
2011-12	46026
2012-01	53417
2012-02	56549
2012-03	62199
2012-04	58158
2012-05	63237
2012-06	66364
2012-07	66536
2012-08	71695
2012-09	70113
2012-10	79045
2012-11	79272
2012-12	74172
2013-01	84227
2013-02	86531
2013-03	95870
2013-04	101175
2013-05	103072
2013-06	96797
2013-07	93016
2013-08	99218
2013-09	100311
2013-10	109106
2013-11	107301
2013-12	101875
2014-01	117181
2014-02	114983
2014-03	128027
2014-04	127411
2014-05	131692
2014-06	132379
2014-07	130914
2014-08	124719
2014-09	134213
2014-10	147548
2014-11	138053
2014-12	133679
2015-01	141414
2015-02	142352
2015-03	167942
2015-04	166273
2015-05	165391
2015-06	169389
2015-07	173123
2015-08	173324
2015-09	176976
2015-10	186381
2015-11	177933
2015-12	166193
2016-01	176145
2016-02	190232
2016-03	207299
2016-04	203682
2016-05	207371
2016-06	209871
2016-07	202696
2016-08	212455
2016-09	222250
2016-10	236087
2016-11	224283
2016-12	203931
2017-01	221677
2017-02	221822
2017-03	252077
2017-04	232266
2017-05	247818
2017-06	241685
2017-07	234860
2017-08	236419
2017-09	241425
2017-10	255195
2017-11	251746
2017-12	221240
2018-01	250109
2018-02	240250
2018-03	275152
2018-04	256694
2018-05	264171
2018-06	260377
2018-07	259561
2018-08	259153
2018-09	264000
2018-10	296088
2018-11	280355
2018-12	258763
2019-01	285723
2019-02	276601
2019-03	314759
2019-04	300128
2019-05	299163
2019-06	276729
2019-07	284244
2019-08	284656
2019-09	297003
2019-10	322968
2019-11	311122
2019-12	303685
2020-01	325656
2020-02	322457
2020-03	410550
2020-04	410065
2020-05	405774
2020-06	389158
2020-07	404866
2020-08	402454
2020-09	429651
2020-10	488780
2020-11	473311
2020-12	438782
2021-01	480003
2021-02	456076
2021-03	512281
2021-04	484041
2021-05	492121
2021-06	487978
2021-07	505021
2021-08	533498
2021-09	574063
2021-10	624309
2021-11	638078
2021-12	642376
2022-01	719122
2022-02	739466
2022-03	871884
2022-04	860906
2022-05	941299
2022-06	975655
2022-07	1005983
2022-08	1130354
2022-09	1288419
2022-10	1531837
2022-11	1725390
2022-12	1784378
2023-01	2152862
2023-02	2486638
2023-03	4034772
2023-04	2709834
